total_bill,tip,sex,smoker,day,time,size
16.99,1.01,female,no,sun,dinner,2
10.34,1.66,male,no,sun,dinner,3
21.01,3.5,male,no,sun,dinner,3
23.68,3.31,male,no,sun,dinner,2
24.59,3.61,female,no,sun,dinner,4
25.29,4.71,male,no,sun,dinner,4
8.77,2.0,male,no,sun,dinner,2
26.88,3.12,male,no,sun,dinner,4
15.04,1.96,male,no,sun,dinner,2
14.78,3.23,male,no,sun,dinner,2
10.27,1.71,male,no,sun,dinner,2
35.26,5.0,female,no,sun,dinner,4
15.42,1.57,male,no,sun,dinner,2
18.43,3.0,male,no,sun,dinner,4
14.83,3.02,female,no,sun,dinner,2
21.58,3.92,male,no,sun,dinner,2
10.33,1.67,female,no,sun,dinner,3
16.29,3.71,male,no,sun,dinner,3
16.97,3.5,female,no,sun,dinner,3
20.65,3.35,male,no,sat,dinner,3
17.92,4.08,male,no,sat,dinner,2
20.29,2.75,female,no,sat,dinner,2
15.77,2.23,female,no,sat,dinner,2
39.42,7.58,male,no,sat,dinner,4
19.82,3.18,male,no,sat,dinner,2
17.81,2.34,male,no,sat,dinner,4
13.37,2.0,male,no,sat,dinner,2
12.69,2.0,male,no,sat,dinner,2
21.7,4.3,male,no,sat,dinner,2
19.65,3.0,female,no,sat,dinner,2
9.55,1.45,male,no,sat,dinner,2
18.35,2.5,male,no,sat,dinner,4
15.06,3.0,female,no,sat,dinner,2
20.69,2.45,female,no,sat,dinner,4
17.78,3.27,male,no,sat,dinner,2
24.06,3.6,male,no,sat,dinner,3
16.31,2.0,male,no,sat,dinner,3
16.93,3.07,female,no,sat,dinner,3
18.69,2.31,male,no,sat,dinner,3
31.27,5.0,male,no,sat,dinner,3
16.04,2.24,male,no,sat,dinner,3
17.46,2.54,male,no,sun,dinner,2
13.94,3.06,male,no,sun,dinner,2
9.68,1.32,male,no,sun,dinner,2
30.4,5.6,male,no,sun,dinner,4
18.29,3.0,male,no,sun,dinner,2
22.23,5.0,male,no,sun,dinner,2
32.4,6.0,male,no,sun,dinner,4
28.55,2.05,male,no,sun,dinner,3
18.04,3.0,male,no,sun,dinner,2
12.54,2.5,male,no,sun,dinner,2
10.29,2.6,female,no,sun,dinner,2
34.81,5.2,female,no,sun,dinner,4
9.94,1.56,male,no,sun,dinner,2
25.56,4.34,male,no,sun,dinner,4
19.49,3.51,male,no,sun,dinner,2
38.01,3.0,male,yes,sat,dinner,4
26.41,1.5,female,no,sat,dinner,2
11.24,1.76,male,yes,sat,dinner,2
48.27,6.73,male,no,sat,dinner,4
20.29,3.21,male,yes,sat,dinner,2
13.81,2.0,male,yes,sat,dinner,2
11.02,1.98,male,yes,sat,dinner,2
18.29,3.76,male,yes,sat,dinner,4
17.59,2.64,male,no,sat,dinner,3
20.08,3.15,male,no,sat,dinner,3
16.45,2.47,female,no,sat,dinner,2
3.07,1.0,female,yes,sat,dinner,1
20.23,2.01,male,no,sat,dinner,2
15.01,2.09,male,yes,sat,dinner,2
12.02,1.97,male,no,sat,dinner,2
17.07,3.0,female,no,sat,dinner,3
26.86,3.14,female,yes,sat,dinner,2
25.28,5.0,female,yes,sat,dinner,2
14.73,2.2,female,no,sat,dinner,2
10.51,1.25,male,no,sat,dinner,2
17.92,3.08,male,yes,sat,dinner,2
27.2,4.0,male,no,thur,lunch,4
22.76,3.0,male,no,thur,lunch,2
17.29,2.71,male,no,thur,lunch,2
19.44,3.0,male,yes,thur,lunch,2
16.66,3.4,male,no,thur,lunch,2
10.07,1.83,female,no,thur,lunch,1
32.68,5.0,male,yes,thur,lunch,2
15.98,2.03,male,no,thur,lunch,2
34.83,5.17,female,no,thur,lunch,4
13.03,2.0,male,no,thur,lunch,2
18.28,4.0,male,no,thur,lunch,2
24.71,5.85,male,no,thur,lunch,2
21.16,3.0,male,no,thur,lunch,2
28.97,3.0,male,yes,fri,dinner,2
22.49,3.5,male,no,fri,dinner,2
5.75,1.0,female,yes,fri,dinner,2
16.32,4.3,female,yes,fri,dinner,2
22.75,3.25,female,no,fri,dinner,2
40.17,4.73,male,yes,fri,dinner,4
27.28,4.0,male,yes,fri,dinner,2
12.03,1.5,male,yes,fri,dinner,2
21.01,3.0,male,yes,fri,dinner,2
12.46,1.5,male,no,fri,dinner,2
11.35,2.5,female,yes,fri,dinner,2
15.38,3.0,female,yes,fri,dinner,2
44.3,2.5,female,yes,sat,dinner,3
22.42,3.48,female,yes,sat,dinner,2
20.92,4.08,female,no,sat,dinner,2
15.36,1.64,male,yes,sat,dinner,2
20.49,4.06,male,yes,sat,dinner,2
25.21,4.29,male,yes,sat,dinner,2
18.24,3.76,male,no,sat,dinner,2
14.31,4.0,female,yes,sat,dinner,2
14.0,3.0,male,no,sat,dinner,2
7.25,1.0,female,no,sat,dinner,1
38.07,4.0,male,no,sun,dinner,3
23.95,2.55,male,no,sun,dinner,2
25.71,4.0,female,no,sun,dinner,3
